date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-04-03,695,1427,183413072.2400535697488408,15.4460398746544,0.3147784030741682061982993805,6,0.1222753815069552,16758.953264,341.5345673354720146236288,0,0,0,0,0,147.43874572,639.3461406555791,0.000017803666861484617,0.0203792302511592,1391.411952620808,107.2107675268012,8999999999,1085,1009,61042298.990613,1243995.06618980514863316859,60500.7423098246,1232.958557897964820999698676,985,20.073541797391812,61045248.990613,1244055.18491904606827316859,0.06927340212666086,0.10408208042854063,0.08509777809709246
2017-04-04,620,1435,166105150.2485506721925548,20.7957515496536,0.3838090484522834167675609827,6,0.1107367668446712,18009.120842,332.3786359596771140928584,0,0,0,0,0,213.03418449,567.9250421087877,0.000016162337814143783,0.0184561278074452,1227.9795284973297,61.18504825022052,8999999999,866,804,42246740.917921,779711.2498291747217859054292,52548.1852212948,969.836022493519858885024045,348,6.4227324769909296,42248740.917921,779748.1620847896121859054292,0.06973558357164442,0.10355039635362717,0.08592135500099866
2017-04-05,583,1423,158840498.8266651556839651,11.4333268931398,0.201786149684048635711947379,6,0.1058936658962094,8666.461785,152.9539014605094235762965,0,0,0,0,0,545.44406655,541.9022350801249,0.00001553861893629454,0.0176489443160349,1202.8803547062705,60.87261160063249,8999999999,758,711,16500316.990981,291213.1757707482042769812369,23207.1997060211,409.5825753426678950908077364,357,6.3006731208244593,16500318.990981,291213.2110686368363467812369,0.06940637163328624,0.10358891742780071,0.08625409236359799
2017-04-06,596,1431,150447419.430026620061473,13.0112698981132,0.2175013310995797397692872564,6,0.100298279631162,10343.959569,172.913558224165993414863,0,0,0,0,0,292.40087347,506.1022700107261,0.000013993327878433649,0.016716379938527,1138.1558881517965,50.97127147185218,8999999999,795,745,30779661.812679,514524.521240112831409183833,41343.8413593007,691.1193602802570755857080689,357,5.967747638054139,30801161.812679,514883.923408791161909183833,0.06955725417887114,0.10437497797965868,0.08484277044898023
2017-04-07,584,1429,153796774.5590775694915371,12.1264905825503,0.2072239042804988464852149339,6,0.1025311830507774,9034.235484,154.3818086889720934775436,0,0,0,0,0,527.13844905,514.6172217372687,0.000014339246054938581,0.0170885305084629,1163.0946133425628,85.721937066115,8999999999,745,707,17073313.500835,291757.8386395704177937165215,24148.9582755799,412.6702102398447453273551357,348,5.9468086169450892,17073313.500835,291757.8386395704177937165215,0.0695393337485896,0.09738256291715572,0.08426797891259952
2017-04-08,564,1431,169707756.9657351825572676,12.1251402027586,0.2286367052148731342400015986,6,0.1131385046563944,8790.726647,165.7616112807833051702628,0,0,0,0,0,453.67323628,561.1044991208294,0.000015920411455289355,0.0188564174427324,1222.9902709317205,111.13229886344998,8999999999,725,690,19838066.871129,374074.8701788486420084328796,28768.2128567087,542.4654307074804164893988519,342,6.4488947654144808,19850066.871129,374301.1471881614308084328796,0.06936214461066884,0.0979058543562293,0.08358538518013986
2017-04-09,694,1435,184837422.8571746085691431,11.1890646711027,0.2297953198020753794165289036,6,0.1232249485851414,11770.896034,241.7446764317824694315346,0,0,0,0,0,390.71467585,601.8706217438886,0.00001692230859146689,0.0205374914308569,1346.7181205826946,130.96261446750376,8999999999,1052,985,23034711.914602,473075.1985583959115004824538,23388.1339234538,480.3336000366659854599415612,335,6.8800596293370615,23037311.914602,473128.5960361161394404824538,0.06694795989088266,0.09835086099173311,0.08377508810203271
2017-04-10,711,1442,190965503.3474619107368133,10.4120718787011,0.2209273941585595924460427954,6,0.1273103355791202,10901.439257,231.3109816840107963002819,0,0,0,0,0,217.35125314,603.9115694661185,0.000017511980713033307,0.0212183892631867,1420.769862200482,116.49164103922895,8999999999,1047,996,41407628.75297,878603.185346039531649289499,41573.9244507731,882.1317121948189687841846378,343,7.2779075172730381,41407628.75297,878603.185346039531649289499,0.06617436319120289,0.09748170038881254,0.08308485048577235
2017-04-11,642,1422,180465223.3666014085125941,10.0842958107798,0.2022071884654962941611581208,6,0.1203101489244354,8793.505947,176.3246683419130572528873,0,0,0,0,0,448.32288219,566.3891940051516,0.000016305039158386956,0.0200516914874059,1289.0947999613056,101.80210000850003,8999999999,872,836,20074817.406139,402534.0452939051762238448201,24015.3916341376,481.5492239969557799709076518,346,6.9378852546424414,20076867.406139,402575.1512614543583188448201,0.06634257832899235,0.09861834281551786,0.08364521273286994
2017-04-12,616,1418,188298047.5564232947136283,9.70757183100381,0.2031018691660947159557237762,6,0.1255320317182302,7639.859031,159.8411710337165734678227,0,0,0,0,0,632.87251126,586.6053664433927,0.000017203978375219102,0.0209220052863717,1386.0138740197365,89.8146973519917,8999999999,787,742,14220873.618215,297529.1930171180746083805155,19165.5978682143,400.9827399152537687084050553,350,7.322701850230095,14220873.618215,297529.1930171180746083805155,0.06636357262330034,0.09752614434828667,0.08333535604506785
2017-04-13,635,1425,189681238.0615910068797037,10.9901854843373,0.231625776603027893328385142,6,0.1264541587217778,9121.853952,192.2493945805140155659776,0,0,0,0,0,429.08078512,583.4788704004155,0.000017974110461718204,0.0210756931202963,1452.5293211887804,80.40307718627562,8999999999,830,785,20975071.15462,442064.162831150103797513906,26719.835865758,563.1390609314022115519840954,349,7.3554168989834087,20975071.15462,442064.162831150103797513906,0.06607972974000645,0.09730596767252278,0.08334092313214318
2017-04-14,631,1426,198114665.0800395594331053,10.1098095992991,0.2225446158900727503857835048,6,0.1320764434013682,8653.997017,190.4981912019016227531099,0,0,0,0,0,462.26111477,602.8299649241219,0.00001874488427819997,0.0220127405668947,1281.5276937088079,94.94515789002219,8999999999,856,782,19469515.629463,428577.3965144705805297385461,24914.2143599271,548.4301371330777465605653764,346,7.6164082361455662,19482915.629463,428872.3672380669695097385461,0.06612793753329799,0.09685931197795747,0.0829359234318952
2017-04-15,716,1434,212532489.6862008789211316,14.2418955825427,0.3363183918161138486489106807,6,0.1416883264732104,15010.957944,354.4795849741838595105696,0,0,0,0,0,111.90189395,608.620795375753,0.000020088023670368255,0.0236147210788684,1549.5823885230168,113.4915129339224,8999999999,1054,990,80427593.147331,1899275.17921892904703196024,81400.0961084151,1922.240565393303678604025473,349,8.2415376565250716,80586095.147331,1903018.15973937184616876024,0.06608204452400393,0.09689305867477457,0.08318486523886814
