date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-03-25,2929,5814,2800023,481.600103199174,2540055.848833216876414661786,2665501.93373073,1.99794628213001,0.0006168493815105301451687677414,1,0.00030874172495414,2889.03032396,0.8919642056642283003431944,5298898.07503152,23.50892,1635.990932041403448451054493,5298898.07503152,1635.990932041403448451054493,346.05173906,323.9757597817763,3.1876914085330194E-7,0.00030874172495414,-31.487568607163347,23.664391284359528,8227122036.09833654,1446,2692,23774254.27296375,7340.104273733161736510632425,9155.00111037506,2.826530834774263070456699748,407.659310835,0.1258614388208138343801069,24645262.98912966,7609.021007212315716382013792,0.051863654318247895,0.07454977578514298,0.0574300740266259
2017-03-26,3222,5855,2582588,441.091033304868,2624835.836133074504390550528,2167367.61486678,2.33006031975218,0.0007429161015454570993456878504,1,0.000318839858027569,3478.78005739,1.10917373960736593802218491,5336265.6053164,23.6593,1701.414167996480527544167832,5336265.6053164,1701.414167996480527544167832,366.80166166,334.9423672507363,3.311046171829336E-7,0.000318839858027569,-47.39930413149741,30.58451873405502,8232458301.70365294,1493,2811,22443895.87694919,7156.008574992020978246632219,8313.89615660834,2.650801470228954690357255325,389.38095873,0.12415016960011190399122737,23370362.09622605,7451.402932813593630531755972,0.051921293962456316,0.07447346801472698,0.05737600450485755
2017-03-27,3009,5841,2546745,436.011813045711,2606505.342473848358398595981,1817720.66796821,1.57698930244847,0.0004989730412659964753437332752,1,0.000316408640496977,2524.75987322,0.79885583906686020831325594,5323505.96082888,23.587395,1684.403283743419215418054296,5323505.96082888,1684.403283743419215418054296,263.64164873,330.4707023265052,3.0338749269432993E-7,0.000316408640496977,-47.513388110306884,30.287242440241375,8237781807.66448182,1601,3004,31246132.19301593,9886.546207980996948523677844,11710.9915467192,3.705458914169011979801867858,379.944555235,0.120217740186134935627024595,35179818.6063446,11131.19857816375096886932027,0.051885696503179576,0.07448968776287908,0.05739673504712551
2017-03-28,3265,5863,2738873,467.145318096538,3106305.630246244405479599541,1906609.57672204,2.20851722904181,0.0008322485950070846276883417937,1,0.000376835907849433,3803.06666841,1.43313208060220092721751153,5343556.83073784,23.66076,2013.644089456132925025015645,5343556.83073784,2013.644089456132925025015645,80.79164323,376.1128131147538,3.605523085914657E-7,0.000376835907849433,-43.25259317414375,35.12794757183327,8243125364.49521966,1722,3262,102029430.7047264,38448.35314697638754265266013,33903.8464162046,12.77618674383820591142812199,394.78429195,0.14876889706167385411396435,110594347.00965944,41675.9211584002407969681271,0.05347346151652065,0.07693388218450711,0.060321816997408156
2017-03-29,3336,5860,2712346,462.857679180887,3300499.100552530717880881027,2394517.84635653,1.53682322171156,0.0006149365889248389322692970965,1,0.000400134888800017,2738.61898109,1.09581700146406300931467853,5340822.6212048,23.633385,2137.049465636397964010800482,5340822.6212048,2137.049465636397964010800482,68.23985692,377.9154567576866,3.8486031560490805E-7,0.000400134888800017,-39.473066358808076,44.84456803904755,8248466187.11642446,1782,3347,120874611.40766827,48366.14919435260955213230636,44081.9872446591,17.6387410642254367661912392,386.61373292,0.15469764303050367172945964,147542411.30787411,59036.86634196257779024120186,0.05360350634766476,0.07737085806060369,0.06070765382353794
2017-03-30,3199,5884,2731882,464.289938817131,3085245.546354712245774220307,2825513.81191244,2.17369908730295,0.0008125193195721880335786463858,1,0.000373795675914063,4053.94879782,1.51534853100213002848174266,5362696.29746912,23.71478,2004.552687234312767809516235,5362696.29746912,2004.552687234312767809516235,128.50640979,344.8030791488269,3.6011572180011544E-7,0.000373795675914063,-42.69514652890062,49.364211614388545,8253828883.41389358,1865,3406,64228927.54559852,24008.49538514237826151341999,23500.8452784993,8.784514345428461968328405656,402.916116815,0.150608302221532489609269345,80043879.01856848,29920.05586052929070267376053,0.053848923584662325,0.0760404272264618,0.06144791831503254
2017-03-31,3437,5841,2980249,510.229241568225,2878712.862027318967381627161,2779261.35005135,2.37599051085197,0.0008281476604708942371434979046,1,0.000348548387162515,4462.11017938,1.5552613063643394958619407,5319539.16963558,23.50892,1854.116798024305694962786284,5319539.16963558,1854.116798024305694962786284,57.6779448,304.83826889148213,3.2220981881940374E-7,0.000348548387162515,-38.89770511431665,43.63190127137292,8259148422.58352916,1878,3521,143194221.84225939,49910.11507411088778279871477,48448.5463241258,16.88666268164244228094990439,386.684127245,0.134778128892589474754221175,170587331.60724692,59457.9393020630316728697732,0.054104005038335366,0.07715187263255298,0.06215499137036568
2017-04-01,3100,5832,2563153,439.498113854595,3079503.578121692846196707661,2505903.34310394,2.06028284407715,0.0007677078804135186361292575006,1,0.000372622566178477,3471.57659227,1.29358777849677974027857279,5255984.54700072,23.21327,1958.498449697828244242567503,5255984.54700072,1958.498449697828244242567503,203.70718243,321.60160759576615,3.420046756282872E-7,0.000372622566178477,-31.23107994651616,53.05003120255799,8264404407.13052988,1685,3210,40570019.71470092,15117.3048560032601415813961,15496.8458511947,5.774474468744453836583876472,372.096247215,0.138651458502634275604191555,49744875.1823351,18536.06304466973892178422164,0.05432974778155447,0.07777119599356373,0.062477517294500746
2017-04-02,3330,5875,2640364,449.423659574468,3065515.289907345331941487694,2786851.96981215,2.00736559185419,0.0007441153307546785399351973927,1,0.000370692480619509,3496.83086101,1.29624890617465039467344409,5294737.51948375,23.36949,1962.719385326617153157858479,5294737.51948375,1962.719385326617153157858479,214.53616112,318.51362919281985,3.352974868497944E-7,0.000370692480619509,-28.361455843009765,59.359226432995925,8269699144.65001363,1742,3230,38546877.60527503,14289.03767963599955114072856,13776.3439243523,5.106787103185655528935569021,361.64012638,0.13405727553935493545354742,44497590.87565807,16494.92234328971962610165529,0.05432132358551907,0.07704688349680985,0.06245619283315097
2017-04-03,3547,5852,2724825,465.622863978127,3841796.404109325153204668143,2880179.04934763,1.94946324111462,0.0009050713193173522636745028265,1,0.000464266932676233,3707.8790846,1.7214456493416006442163118,5274009.18536492,23.26291,2448.548067395649762272315946,5274009.18536492,2448.548067395649762272315946,104.18889917,385.1951766604288,4.05592051431913E-7,0.000464266932676233,-2.186205281197139,103.26094114857389,8274973153.83537855,1902,3523,79422790.9067781,36873.3755188756786550524749,24992.4254566498,11.6031567068982044882402642,348.22712433,0.16167033888735432852704889,88048314.88377707,40877.92107840229297965045938,0.05683398120104077,0.08569166864904157,0.06827546176746498
