date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-05-24,9112,1618,2786194,1721.99876390606,,0.459526226734349,,0,,5431.6,,0,0,,0,,4.19828526,,,,,,100004813.7,11820,11143,23820395.1261727,,11111.9443710107,,1500,,123820396.12617273,,,,
2016-05-25,5107,6729,6046063,898.508396492792,26960743.4211911164126002,0.523932365055279,0.1412448114826112471386837569,0.1,0.0269585963577014,4833.8,1303.1246307385702732,0,0,0,0,0,2.66789536,,0.0005983492320280526,0.269585963577014,,,100007964.3,9226,8160,37485714.6952947,10105622.51650405544748687603,4593.83783030572,1238.43419799950685242438472,447.108439895,120.53415959250902322257353,37485716.69529468,10105623.05567597720979560449,,,
2016-05-26,2793,8078,5980096,740.294132210943,49275262.81936682684169,0.490880634390651,0.241859854876089927040053114,0.1,0.0492706042837318,2352.3,1158.9924245662231314,0,0,0,0,0,2.68808256,,0.0010842198071303335,0.492706042837318,,,100009455,4792,4249,37204755.7106413,18331007.96091918384685735203,8756.26359793541,4314.26398737921235604330163,330.1,162.6422647405986718,37205364.02762758,18331307.68237428458872343003,,,
2016-05-27,1795,8374,5902266,704.832338189635,37029948.6899205580856256,0.498425196850394,0.1845473882509989895268992424,0.1,0.0370260952731072,1519.2,562.5004393890445824,0,0,0,0,0,6.41290197,,0.0007847502451782579,0.370260952731072,,,100010407.3,3048,2670,15595187.2975719,5774288.906818483750459284077,5840.89486800445,2162.65529862935669017814927,299.89999999,111.04125972034588327268928,15595189.29757187,5774289.647340378104774702145,,,
2016-05-28,1136,8219,5562564,676.793283854484,34633811.719666177222365,0.736303123399898,0.2549806153909151126272161567,0.1,0.034629842966513,1438,497.97714185845694,0,0,0,0,0,17.53470153,,0.0006522725879602574,0.34629842966513,,,100011460.5,1953,1667,5703630.61521248,1975158.325438041156290196822,3421.5259239427,1184.869054519890033810308051,500,173.149214832565,5703683.71521248,1975176.713884656374693196822,,,
2016-05-29,1023,6321,4353668,688.762537573169,37865921.8916252850403214,0.539069471000637,0.2040993514989244077106677387,0.1,0.0378614190709166,845.8,320.2318825018126028,0,0,0,0,0,36.18213814,,0.0007176843845704274,0.378614190709166,,,100011892.9,1569,1242,2764123.35039365,1046536.325329600275798763196,2225.5421500754,842.6218400399348343263711164,233.1,88.2549678543065946,2764123.35039365,1046536.325329600275798763196,,,
2016-05-30,1409,8553,5868074,686.083713316965,35079089.3073177769887606,0.558420628525383,0.1958637968993528906333886831,0.1,0.0350745991272867,1386,486.133943904193662,0,0,0,0,0,24.13721255,,0.0006574517253068371,0.350745991272867,,,100012801.8,2482,2157,4143510.83875631,1453319.816489450530492128041,1920.96005505624,673.7690387062820668768710401,144.44,50.66175097945290948,4143510.83875631,1453319.816489450530492128041,,,
2016-05-31,774,7872,5255791,667.65637703252,31035372.755518490462318,0.565142364106989,0.1753709008632936694465133792,0.1,0.0310312784886347,655,203.254874100557285,0,0,0,0,0,25.25188238,,0.0005844551674459383,0.310312784886347,,,100013194,1159,960,3960623.31064828,1229032.049413051201134691033,4125.64928192529,1280.241718138594483993995016,200,62.0625569772694,3960623.31064828,1229032.049413051201134691033,,,
2016-06-01,468,8630,5665552,656.495017381228,33438433.42300036916043,0.572566371681416,0.1914314315260953024310998481,0.1,0.0334339285354695,452.9,151.4222623371413655,0,0,0,0,0,23.5402511,,0.0006218950493863236,0.334339285354695,,,100013474,791,669,4248615.42775355,1420479.045862053712358795417,6350.69570665734,2123.287064068944809274725211,150,50.15089280320425,4248615.42775376,1420479.045862123923608719903,,,
2016-06-02,385,8594,5648540,657.265534093554,33131442.184994225086896,0.6996875,0.231784691924408165625,0.1,0.033126887635467,447.8,148.342202831621226,0,0,0,0,0,58.60840668,,0.0006148599810052601,0.33126887635467,,,100013748.8,640,497,1706474.4542708,565301.874994236610317024636,3433.5502098004,1137.428319907919945260307868,194.99801723,64.5967740591706802509641,1706474.4542708,565301.874994236610317024636,,,
