date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-09-06,309,1972963809.124515,0,0,888.5469507,234.2999729077789,0.000381955765587052,3.94592761824903,,-20.023366786730197,500000000,429,432,562716.4660289387,2220438.444547081285094203204,1898.970651,7493.20073802523997921853,418.230597671,1650.30766614679734341600913,820355.321231745681884347,3237062.718825900150146028736,0.042028664175657114,0.029603486828969978,0.032491312140514865
2019-09-07,170,2012358915.47746,0,0,1725.96563033,239.13097781593052,0.0003835070903667452,4.02471783095492,,-21.840295886909765,500000000,250,250,289692.9065179838,1165932.20636408616580330709,1610.66591604,6482.4758319975280897449168,345.096,1388.91402459121907232,402666.479010020082227599,1620618.95799946284773573219,0.041835250871723594,0.02853790445663947,0.03256419558048839
2019-09-08,203,2023227661.158445,0,0,1577.54321542,241.14902873418882,0.0003888106113100223,4.04645532231689,,-20.15256563967153,500000000,325,327,316948.52801104373,1282518.058070791795074650708,2021.11039854,8178.3329291621937040733406,1000.1,4046.859967849121689,660903.10032260891183495,2674314.867836154331680393751,0.04172253370064262,0.028603976232845538,0.0322445619419261
2019-09-09,276,2010233103.76442,0,0,554.55820985,239.639433209204,0.00038911009371766077,4.02046620752884,,-19.834355036146583,500000000,468,467,901618.6057927967,3624927.136669205559858579507,3290.67283748,13230.0389431213824617329232,4257.443186197352,17116.90646058036880347247163,1536744.215102958540417122,6178428.18643687564818413128,0.041641669635427966,0.02859919740396851,0.031250874536455364
2019-09-10,929,2049122807.819245,0,0,269.4232952,256.7001488387295,0.00040633205932294963,4.09824561563849,,-19.554939868036048,500000000,1355,1354,1855815.7698825598,7605588.842353969576237592607,1729.16533611,7086.5442574268634331028739,400,1639.298246255396,2341289.865094308067998614,9595180.92456157976709850641,0.04164479398481163,0.028702768363586827,0.02939791318921466
2019-09-11,660,2071548749.639255,0,0,194.42870987,261.91662401842365,0.0004085029595915492,4.14309749927851,,-18.518280329907043,500000000,1039,1039,2571636.6699345587,10654541.45625878517258216524,3122.5291387,12936.942665972249701719337,576.449,2388.28441036159781099,3244307.77510713463131378,13441483.42993619610649749707,0.04113530891950547,0.0288794694670278,0.02941376564087521
2019-09-12,413,2057169791.75132,0,0,256.44198358,258.4589353222286,0.0003954818054032242,4.11433958350264,,-17.730248053013757,500000000,1133,1134,1949758.7447519782,8021969.581813484161275224922,2124.06470151,8739.1234793433127518969864,288.0673484,1185.206894236765889199776,2408689.371507876856293171,9910166.025556953771831315321,0.040858928730065476,0.028820663525054642,0.029354444012232393
2019-09-13,399,2028996161.794545,0,0,365.64471345,253.56065433211634,0.0003922532091849269,4.05799232358909,,-16.64938618582038,500000000,1003,1003,1367447.6386618267,5549092.020599720471215719591,1919.25896232,7788.3381360741225314730888,995.63,4040.2588971350056767,1925016.739211924006071883,7811703.150502488797601458913,0.04084202048634068,0.028600749616559572,0.029129253067798584
2019-09-14,198,2055550952.38733,0,0,1197.26890886,256.81768280070327,0.0003966922941518189,4.11110190477466,,-18.208068639585353,500000000,320,323,417617.1253608761,1716866.55953761570415015068,1701.1455447,6993.582689115096516457302,498.5,2049.38429953016801,549470.010936746027225169,2258927.20857860985476208779,0.040762892594843426,0.027936964241758816,0.02907414836178202
2019-09-15,279,2029096441.86353,0,0,1139.00256998,255.48272307962242,0.0003937634460400623,4.05819288372706,,-17.57704897294817,500000000,407,407,438980.57227978687,1781467.834520263375472588052,1726.4349359,7006.205971087162984195454,523.49072,2124.4263146011549228832,702659.018910065631378862,2851525.830227466028613351563,0.03915579725195469,0.02783980654727869,0.02912449309879333
2019-09-16,787,2016599589.521935,0,0,536.16272625,254.32555059004957,0.00039318277112025175,4.03319917904387,,-17.33257139267136,500000000,969,970,932552.7037236523,3761170.799073375786353818326,1333.62501995,5378.7753356147047506752065,400,1613.279671617548,1293616.269352472607377138,5217412.075550186327429955298,0.03771517717868345,0.027835167167145704,0.02904586879625283
2019-09-17,243,2038709965.816255,0,0,648.91719958,258.2536673696503,0.00039991912786540424,4.07741993163251,,-16.869887614249667,500000000,383,384,770514.3280617238,3141710.478847303237979378721,3542.71378823,14445.1318121983171103233573,2636.755710170435,10751.16028749476543017988684,1360402.094681218279875734,5546930.615887816434633671389,0.03757252754605394,0.027934318356327596,0.028848528380299252
2019-09-18,327,2064362085.647835,0,0,839.47214663,265.4270693737033,0.0004063177453201134,4.12872417129567,,-16.550500372205004,500000000,374,479,595612.3761880039,2459119.214290261253439774013,1826.38983074,7540.6598403848454977948958,349.98,1444.9708854700585866,874840.728925075038427115,3611976.063546880317464060459,0.03752049336133705,0.028013170635577265,0.028330362208644454
