date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-07-07,385,282,189377,671.54964539,,85.3200347339362,0.112557333333333,,0.1,,28.364448,,7050000,29.636774592937,,7050000,,38.55738612,,,,,,8682625000.00000002,252,544,225187074.997721,,419427.34449009,,1301.122671,,228168475.402608,,,,
2015-07-08,399,291,195298,671.12714777,,84.7571909914089,0.117800172566372,,0.1,,26.622839,,7275000,30.5570259726809,,7275000,,10.35038374,,,,,,8689900000.00000002,226,430,839572736.413495,,1953228.95627225,,1808.153137,,839888451.197067,,,,
2015-07-09,345,429,321760,750.02331002,,62.2736786181585,0.140038769230769,,0.1,,38.230584,,10725000,44.9924574384024,,10725000,,122.28477214,,,,,,8700625000.00000002,273,631,71150518.970423,,113509.34483968,,582.182362,,71624396.593841,,,,
2015-07-10,308,430,254046,590.80465116,,75.8570865857442,0.119493237704918,,0.1,,29.15635,,10750000,45.0416840051083,,10750000,,82.3292158,,,,,,8711375000.00000002,244,530,105811465.777772,,200103.26041869,,1604.685704,,106054728.021908,,,,
2015-07-11,310,365,204512,560.30684932,,105.58693524337,0.11913337,,0.1,,23.826674,,9125000,38.1930508571756,,9125000,,83.73673005,,,,,,8720500000.00000002,200,351,104141874.115208,,299078.39770195,,9565.500918,,104976517.593386,,,,
2015-07-12,291,376,211319,562.01861702,,94.2048185175797,0.122755386363636,,0.1,,27.006185,,9400000,39.3017102143209,,9400000,,108.54401508,,,,,,8729900000.00000002,220,451,80427280.986695,,198915.7611441,,5211.166869,,89711008.275988,,,,
2015-07-13,289,452,265810,588.07522124,,98.2292102335177,0.12798123853211,,0.1,,27.89991,,11300000,47.1845970804924,,11300000,,170.64391972,,,,,,8741200000.00000002,218,474,51224796.138628,,148912.47142892,,2192.23776,,70584511.457306,,,,
2015-07-14,303,414,236761,571.88647343,,94.0352747624154,0.112579850202429,,0.1,,27.807223,,10350000,43.1666390525107,,10350000,,234.64280631,,,,,,8751550000.00000002,247,479,37297329.23633,,78589.77031839,,5129.727872,,37644499.982509,,,,
2015-07-15,337,443,246447,556.31376975,,103.979336762618,0.116166337398374,,0.1,,28.576919,,11075000,46.132009529108,,11075000,,460.58235658,,,,,,8762624999.99999902,246,528,19025099.148449,,41392.97927105,,3850.091096,,21855493.055114,,,,
2015-07-16,345,460,260222,565.7,,118.096577896565,0.110494750915751,,0.1,,30.165067,,11500000,47.8395281580785,,11500000,,365.46406357,,,,,,8774124999.99999902,273,618,24008174.467888,,40345.74852826,,3101.989077,,24933672.590463,,,,
2015-07-17,285,327,185997,568.79816514,,117.077091435596,0.111470580645161,,0.1,,24.189116,,8175000,33.9760085626772,,8175000,,377.63746338,,,,,,8782299999.99999902,217,485,23255902.424187,,48912.76423265,,2479.939354,,23722690.652833,,,,
2015-07-18,434,401,253234,631.50623441,,109.362311378628,0.115415089285714,,0.1,,38.77947,,10025000,41.617262783166,,10025000,,155.57747578,,,,,,8792324999.99999902,336,704,56514125.55481,,94832.25941133,,4066.90167,,66761910.625573,,,,
2015-07-19,321,322,198427,616.23291925,,115.685076350808,0.119056693617021,,0.1,,27.978323,,8050000,33.3877817706632,,8050000,,232.92035917,,,,,,8800374999.99999902,235,457,37782764.166454,,86431.82781175,,5430.805913,,39499345.309968,,,,
2015-07-20,309,294,171190,582.27891156,,116.856873538129,0.119843563380282,,0.1,,25.526679,,7350000,30.4590572480408,,7350000,,700.30858417,,,,,,8807724999.99999902,213,440,12576919.945077,,29337.71314616,,1168.901803,,12908593.784311,,,,
2015-07-21,312,306,176911,578.14052288,,120.138434513824,0.112119570175439,,0.1,,25.563262,,7650000,31.6747727691675,,7650000,,104.52397907,,,,,,8815374999.99999902,228,445,84338302.835132,,190348.61246217,,2055.00859,,84705132.545664,,,,
2015-07-22,282,359,224426,625.14206128,,120.904752028189,0.122302557446809,,0.1,,28.741101,,8975000,37.1231308821613,,8975000,,550.20167993,,,,,,8824349999.99999902,235,437,16038391.596871,,37383.04932447,,3248.297399,,16336392.554795,,,,
2015-07-23,336,374,229384,613.32620321,,108.219716436631,0.118862421818182,,0.1,,32.687166,,9350000,38.6333020138787,,9350000,,438.16095712,,,,,,8833699999.99999902,275,526,20160856.088254,,39294.44162517,,2295.587048,,20668876.294841,,,,
