date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-11-03,192,168818798.430333,0,0,618.69281501,333.7367871888014,0.00002665938482511092,0.168818798430333,-16.266030516881745,12.40595212125811,1000000000,203,203,1616310.9959221615,272863.6802213141658000485248,10260.23026439,1732.11974485285767358574187,464.3547146081632,78.39180496561030981330829435,2082826.74367146370377882,351620.3082051796904569404403,0.062369800892729914,0.038724839488667805,0.05083379223553108
2018-11-04,237,168098745.82886,0,0,475.25186112,335.3704406973904,0.000026181884278199915,0.16809874582886,-14.696436647779972,12.266590648851201,1000000000,278,277,2104147.4674779507,353704.5503220154977356457172,10251.32263952,1723.2344787903106853925472,633.88599604,106.5554409328017164777144,2839616.371146150744709527,477335.9506247665771546853845,0.0622946620645448,0.03873315860125772,0.043365043847952964
2018-11-05,266,163312344.625255,0,0,148.29873117,321.0033018670975,0.00002550580986100974,0.163312344625255,-13.610550703218715,7.731788594746458,1000000000,318,318,6743146.0274844365,1101238.987898957517748937344,24411.42240351,3986.68662835469584234664505,991,161.842533523627705,7762832.324315459679029718,1267766.347816675640559693634,0.062250590487427745,0.03915086633426725,0.04343033133220964
2018-11-06,293,163126905.498971,0,0,313.48516961,321.34678810530784,0.000025325761173785534,0.163126905498971,-13.926726892020172,7.558542229733001,1000000000,347,347,3189943.5665742345,520365.6227316056580863348627,14452.98828061,2357.67125342880282741425231,1442.71517276,235.34566164875214026722996,5015186.933373037205470887,818111.9249400176091103926114,0.06207920452226,0.03915481688993879,0.04340528780259074
2018-11-07,259,167225807.87518,0,0,384.37138638,331.36454555965497,0.0000257236051311752,0.16722580787518,-14.536050635971879,6.9953880729424585,1000000000,305,303,2601650.475152304,435063.1025161899471531214147,12348.85188387,2065.0467326110992248153466,990,165.5535497964282,3741702.12081112569831252,625709.1599809148515702306839,0.06173134520854021,0.039038603134537456,0.0421713208824278
2018-11-08,275,168362219.735138,0,0,221.21232312,330.115619535807,0.000026278868777761105,0.168362219735138,-17.82146788002365,5.406926668899321,1000000000,377,377,4520543.819192008,761088.7918091247960989263771,16750.65493691,2820.17744719551557230014358,1672.518,281.588843026973537484,6314996.911213588099850179,1063206.897592459874758504433,0.061730694091395706,0.038876463499227,0.04208904151854828
2018-11-09,228,163062037.806997,0,0,376.85291734,318.303278284468,0.000025754585818565252,0.163062037806997,-23.704613461556693,0.9220527503752244,1000000000,260,260,2653555.1510425424,432694.1103622506836287473892,14796.20139153,2412.69875070560648097053541,498.31017203,81.25547211116703900769391,3847012.361797682147335985,627301.6751834384677567839374,0.06136742247095618,0.0393089908473547,0.042329354763031096
2018-11-10,205,164881579.279943,0,0,375.66449974,321.36544112675864,0.000025952881080739192,0.164881579279943,-16.585150758823698,15.780829235945154,1000000000,229,228,2661949.6936406703,438906.4694512341607692538658,14633.65811853,2412.82066122598571354564379,1053.704480825,173.736458892778416150592975,3336474.051023827980960291,550123.1107593578793908781929,0.06138272477992463,0.03122827714057207,0.04146075601875129
2018-11-11,188,161110745.519262,0,0,437.54838254,313.4025543726842,0.000025430183462700092,0.161110745519262,-18.775900052579594,10.522215554833325,1000000000,209,209,2285461.5395692647,368212.4124956045448790170267,13382.21393794,2156.01846423977233914260028,565.07877892,91.04026334891543229955704,2796882.71302959265126912,450607.859026133790425665458,0.061237656381873604,0.03143311142169666,0.04158019076040878
2018-11-12,433,159130621.972328,0,0,115.77549441,305.366410860864,0.00002517628243312187,0.159130621972328,-17.32340230635008,8.080121005776036,1000000000,451,451,8637406.431300037,1374475.857640560845666079376,19604.66830773,3119.70306137026192664849544,824.25396825,131.164046630781995690586,8841705.406784593717936481,1406986.080677727746335981501,0.06121928923814969,0.03153484656174642,0.04036937050896238
