date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-04-03,257,1033917823.8601449597698734,0,0,1589.98528478,129.95739001627288,0.0002990269392106222,2.21901926463899,,-29.43355520730433,465934586.66,276,300,293043.3326138699,650268.8004441885407966903274,1147.5469862,2546.428869456213205511938,222.241335,493.15780376408743065165,344264.095861,763928.66083908298091822039,,0.08236773176999741,0.09527553811156068
2018-04-04,230,905658097.7201511519404684,0,0,1620.72244311,115.46431300376179,0.00028666509269959384,1.94374516004974,,-39.69589159073287,465934586.66,241,262,287485.73738794,558799.0106311389579480761356,1748.59620707,3398.8254143736454565396618,282,548.13613513402668,458132.20625276,890492.2585667114825806122824,,0.08493515920621329,0.09626743216017815
2018-04-05,245,896427955.129422022215027,0,0,753.19875842,115.91413511627316,0.00028299729435010777,1.92393520634595,,-33.60303256831838,465934586.66,254,263,618607.7465635701,1190161.222531985382362607676,2495.16244361,4800.5308708134701810268795,189.138,363.8892570578602911,656227.7226682,1262539.61902157621730626379,,0.08323331954853924,0.09515303087785659
2018-04-06,184,858861391.99285196831783,0,0,5506.295654,113.74009571979254,0.00027884593896890914,1.8433089463255,,-29.565812231033263,465934586.66,181,189,84618.5195889,155978.07418303894042558695,552.32130454,1018.09880190475299946777,150.2,276.8650037380901,104388.72655865,192420.673561085869177740575,,0.08176141877507212,0.08722386211511647
2018-04-07,299,937675175.5726618000632372,0,0,490.18759654,128.42864806166426,0.0002922340670604418,2.01246098147442,,-18.093534141077,465934586.66,432,478,950523.00374066,1912890.457021942416622103917,2768.3805072,5571.257752614364643425824,330.632639105,665.3852854007259986491941,1323285.88244354,2663061.205753570473861604247,,0.08311935857235014,0.08398589476275937
2018-04-08,207,995836000.2942549887533974,0,0,692.65422911,142.59599347767204,0.0003048913449455054,2.13728714031039,,-12.341967769593069,465934586.66,237,249,672679.9131168299,1437710.127849710981069818833,3470.22776197,7416.8731696065860608378683,232.95587,497.8935852108189724893,864086.71272937,1846801.419229560676065869154,,0.08400901828961671,0.08377305980653282
2018-04-09,164,964524649.6456229444488016,0,0,3682.19238107,141.3182423239653,0.00030727607247223887,2.07008596755976,,-8.793237482003313,465934586.66,191,204,126537.27411278001,261943.0355141287786164894084,919.78724717,1904.0386735070375728658792,216.33408964,447.8301632685792518968864,187636.59842251,388423.8893950837502501541976,,0.0832224461534965,0.08374498230146833
2018-04-10,233,988949114.0304446510391186,0,0,494.98136208,147.55060966702524,0.0003113677502850036,2.12250633961221,,-12.922571913452954,465934586.66,231,241,941317.4360709898,1997952.225648187052041362865,6519.2801849,13837.213522158510603097629,267.80459,568.4169400522486580439,1571146.52456198,3334768.458842493362193309776,,0.0822178750582979,0.08202264082703026
2018-04-11,270,1091218306.5821199533687134,0,0,507.08353235,163.37808018261734,0.00033723126745776813,2.34199893681299,,0.5890413028317375,465934586.66,306,332,918851.74124297,2151949.80107980033459304218,3579.67629344,8383.5980733711448096437856,302.67438892,708.8630970511614405680708,1188452.52942309,2783354.560361585495727917939,,0.08392391552241743,0.08267493324059484
2018-04-12,295,1309402841.6340517974618218,0,0,588.89090994,197.3104779007828,0.00035553572891006585,2.81027182596673,,18.485547174200708,465934586.66,367,408,791206.96006185,2223506.62837060081687684225,2277.68214398,6400.9059577344910225497854,313.60802958,881.3238099256148739358734,929294.31474519,2611569.630759466204165367529,,0.09024429804820269,0.08606323039698889
