date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-11-26,998,16741658.35563444807716627873,735689.915487752500369881,738098.1485985103366658432476,0.30624355,,0.00014001565190505246,1.00327343498947,,,16687034.43325015632428103,4053,4566,54489423.48269873,54667791.06808304428796473237,20894.81258621,20963.2103968281179548172087,10000,10032.7343498947,95405714.268649487534123723,95718018.67193186199810110819,,,
2019-11-27,1004,16213478.77480635016752969656,766908.523549361396416788,769283.733079562434717249886,0.30612977,,0.00013326893468534618,1.00309712235197,,,16163418.689498853622856656,4419,5188,52799237.72507623,52962763.42440154124570514067,19062.07133539,19121.1089025976829954972183,8899.122485435846,8926.684156598408179434066717,98894026.088022869639152393,99200312.98669638956741635336,,,
2019-11-28,1066,18270020.71651966077150911121,3869008.021434817139701058,3877170.415153110058218641935,0.43229742,,0.00013475852018941096,1.00210968642946,,,18231557.846343315295346333,3612,4492,42173645.242267884,42262618.40931635684886878946,14575.70915855,14606.459334361548770530883,1500,1503.16452964419,65474085.540212202526510407,65612215.32995769142330928313,,,
2019-11-29,927,19423168.99985028022295793404,1736780.567538303649351574,1738454.756280433894168790348,0.55391784,,0.00012919434750747463,1.00096396100545,,,19404463.853363973305885186,3324,4237,35031302.99173021,35065071.80178434184626673964,15067.11079057,15081.6348978369044015786065,1500.9757487670706,1502.422630859008171973427135,63839348.41965209109306449,63900887.06214197179133375544,,,
2019-11-30,794,20163182.85686575751771301443,1034090.317714564450563598,1036126.789383909258533063956,0.53899767,,0.000132602388627711,1.00196933636691,,,20123552.81248070525312535,3313,4201,37335138.551906504,37408663.99802039703304135938,16942.95223146,16976.3186034522331138049886,1858.295670314304,1861.955279558325354577165281,71177342.324342522443762686,71317514.45308185252176651074,,,
2019-12-01,878,21923399.83960676212696875731,3956468.497833083542056815,3961651.569909045839145037167,0.5736232,,0.0001349887906424821,1.00131002485646,,,21894717.215828863629053182,3835,4752,38169162.79071208,38219165.34271818096562318804,14210.19371892,14228.8094259068969665862232,1796.458597874451,1798.812003291267810532376303,67526840.552309001365305065,67615302.39191073727194021471,,,
2019-12-02,1371,38904400.07051313021345374012,31580909.195859504371806693,31574833.22427582968870627325,0.45829396,,0.00013661723289450783,0.99980760618556,,,38911886.476779454065107947,4823,5666,84905955.60886203,84889620.22819376772138061829,21689.41374969,21685.2408406457297575324764,2947.243120191,2946.67608884502440612864196,122892218.305748292398459475,122868574.6031034562903064189,,,
2019-12-03,1823,45103732.82804247015322560493,12455776.057474488031379401,12431271.68555616802716254608,1.13941359,,0.0001365961861896539,0.998032690070434,,,45192640.758950863316921673,3872,4979,39663069.71413113,39585040.16324545133888481201,12576.33438604,12551.59283852480118374634136,401.75441056062493,400.9640351194820771223887563,62617568.908102920682585356,62494380.74302472657417062012,,,
2019-12-04,1671,45728316.44369465332001175835,2088092.009731417032776939,2083586.491605433967790959909,0.8538597,,0.0001383006883137796,0.997842279887579,,,45827198.7120515607200161,4650,5615,53670642.27864117,53554836.05434999309906048103,15677.60552209,15643.77763734038387480112011,1848.9653866838366,1844.975836881818614355064406,88029755.006562683168683108,87839811.43369352964836359368,,,
2019-12-05,1643,44744517.15590661089703121993,3299262.252459457039600948,3297484.076548290812126562808,2.11181841,,0.0001349877528452381,0.999461038324601,,,44768645.740220104228925464,2765,3568,21199098.12072415,21187672.61928405671975287981,7278.81568008,7274.89267738614357160964808,190.22299464053714,190.1204717366462611052643162,25970814.346512917427457299,25956817.07290124444014720127,,,
2019-12-06,1513,45409936.21017183826583174054,3762788.871721048535442739,3739925.889591398780745163287,3.73008342,,0.00013192148125508134,0.993923926398987,,,45687537.047924032891921423,2594,3259,12248395.51559921,12173973.362952111627280842,5428.51143324,5395.52739822769319145412788,114.3,113.6055047874042141,17691518.760938083638636965,17584023.79083292152890082072,,,
2019-12-07,1534,44596437.55211313247493441621,1119143.848297350237268855,1112062.729017556251104073098,7.1912246,,0.00013227697194124856,0.99367273537663,,,44880407.768468986418446856,2311,3160,6240996.532242226,6201508.095669194915846499578,2673.00448689,2656.0916801619916240473807,100,99.367273537663,8446694.178577088316259845,8393249.709316552184031953924,,,
2019-12-08,1460,45249743.86259780762567341864,2663592.670008265761556096,2648400.310287642525947896675,5.43598795,,0.00013206324589891657,0.994296290160396,,,45509315.794890771853766163,2529,3689,8371857.378779347,8324106.733472241886849322141,2915.53314892,2898.90379381081336175417232,136.4067506660081,135.6287261400459801197740352,10755401.786356157982317851,10694056.09535842392539690717,,,
2019-12-09,1710,44946776.67924648705171486709,3082232.085084337491290725,3076272.339547852925350079414,2.58196417,,0.00013597213771885194,0.998066418954846,,,45033853.284347347291038641,2576,3481,17441703.41244321,17407978.4653297119696795293,6158.12721433,6146.21997627472450803414318,156.42243428607847,156.1199788321060615081453428,21436440.833066278932001233,21394991.73739589675394134036,,,
2019-12-10,1759,44636770.22609476650796590322,2494208.573645713613718025,2486633.651998321897249443183,3.85570752,,0.00013785264702345588,0.996962995906826,,,44772745.236641082185807325,3309,4349,11612069.896148587,11576803.99234376115618290355,3476.44368084,3465.88570715160003312141384,200,199.3925991813652,15119053.56798679622006914,15073136.94041590335085800339,,,
