date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-07-24,14910,9388,9484872,1010.31870472944,,1425783515388.11,0.000779419088234521,,0.000480631947033,,19.685008492453065736,,0.154926955815022,54662.5,24.2445664983269,,54662.5,,6.97026832,,,,,,82293954.40573,25256,27755,11806425.615154,,630.707219597158,,2.62253923,,17505278.879919107200218055,,,,
2016-07-25,12384,5648,6990037,1237.61278328612,50136482.20255712360252806172,3263196676829.09,0.000907293269057464,0.0005525462858930326781525358737,0.000482016876138,0.000293550766583440031991779832,23.074282418674638466,14.05235714283478243466118594,0.213431763928443,31262.5,13.8606528216821,19039.02393178326955,31262.5,19039.02393178326955,14.2449567,,0.0009296091650183271,0.609005163751564,,,82325216.90573,25432,29663,5779253.572891,3519595.268520294768489251524,327.487226710246,199.4414121292189290553573247,2.27150131,1.38335602725844214054884,9714253.605906034072577542,5916030.607989025340122802388,,,
2016-07-26,16696,7750,9372983,1209.41716129032,210084072.6704148851389926785,4324493258208.06,0.000832653235081272,0.002123646743940148978587865712,0.000487161159009,0.00124248386424943497051532155,25.828903352231730487,65.87552199705064246927764129,0.387969739248552,45913.4375,20.3449978380409,117100.274090038886828125,45913.4375,117100.274090038886828125,11.31250833,,0.0038960509442484653,2.55045756680795,,,82371130.34323,31020,36522,7281420.52199121,18570954.06742317464073765812,309.512602856803,789.3987599785571333996519838,1.99958,5.099843941437840661,11304019.281536152823899402,28830421.51193684745076363013,,,
2016-07-27,19134,5721,8353485,1460.14420555847,133478285.9582898924396951522,8546119161600.04,0.000788017739953494,0.001276431047599443351777095932,0.0004753713095565,0.000770006394388700550284764785,26.825699903508020083,43.45226572239835562718669417,0.566014028881517,33052.34375,14.6401615492949,53538.1827329410892421875,33052.34375,53538.1827329410892421875,9.87946674,,0.002468171919325963,1.61979988886389,,,82404182.68698,34042,39798,8340954.51306066,13510677.19327441879949405357,393.303582312228,637.0730989191167271541746469,2.0550682,3.328799241967714467298,15652695.968862054685482647,25354235.19078301518753490726,,,
2016-07-28,11646,5957,6867164,1152.78898774551,142371799.186978628261475006,6348055800443.01,0.000926231649004286,0.001599624022378616321385499109,0.00050868,0.000878502422777597496,21.717353474209033059,37.50638445272098324664113703,0.437649990710124,33480.46875,14.8237718367452,57821.56348314193828125,33480.46875,57821.56348314193828125,7.0597783,,0.00263186993016728,1.7270237138822,,,82437663.15573,23447,28667,11677089.5090146,20166610.49119326982806248012,556.936112952611,961.8418741865346811114364242,1.56863886,2.709076509737140382292,15965687.550012512246480344,27573121.00730541165299549318,,,
2016-07-29,5873,6242,6441243,1031.9197372637,136069593.608386599708387429,6958494684835.98,0.00107014711614512,0.001765605296735220003903745776,0.00063,0.001039419085620699,19.650041346660584184,32.42004445865852893957084061,0.50288294458025,35176.875,15.5682275161324,58037.3257896724224375,35176.875,58037.3257896724224375,13.52701648,,0.0025090906804388696,1.6498715644773,,,82472840.03073,18362,22510,6096898.02313992,10059098.67989641742767956382,490.882492824305,809.8930664105530813880607765,2.10939816343379,3.480236048010050461154507967,11049764.913475096135576206,18230692.92490153432945513442,,,
2016-07-30,4521,5853,5582048,953.707158722023,129014508.1546380046171981764,7515459638362.38,0.000736624547909085,0.0011518651262407729570871238,0.000441,0.00068959488536468838,11.117137677042622196,17.38394848522373043770227787,0.509168757929734,32699.53125,14.4660939975841,51132.493205947381696875,32699.53125,51132.493205947381696875,20.45211858,,0.0023860215680776152,1.56370722304918,,,82505539.56198,15092,20453,4034082.7890997,6308124.395693582748701023246,345.43384460563,540.1573978954716539431948834,1.8993,2.969949128737307574,7065158.423718950994166804,11047839.25915608268284016029,,,
2016-07-31,4767,6307,6121151,970.532899952434,148667134.3392810683472774124,7077624582790.13,0.00076295003878906,0.001374172064703600659174608263,0.000441,0.00079429824985150458,12.607749390987845733,22.70819336922453196354281833,0.51667593502205,35503.75,15.6999090755607,63946.862784955455175,35503.75,63946.862784955455175,22.17353194,,0.0028827094800424695,1.80112981825738,,,82541043.31198,16525,22414,3722503.18653693,6704711.487829778651329615043,314.892733238895,567.1626913891405935521367951,2.00392378,3.6093268736730419424964,7058005.722816592811784573,12712384.56479619777140819088,,,
2016-08-01,5452,6374,6669785,1046.40492626294,189897948.9434173891868741964,8791084043093.24,0.000705976999707456,0.00162349010818412583930518683,0.00044846,0.0010312947507042753028,14.49582573499158611,33.33512239134095818637817055,0.648594334413436,36351.875,16.0678771048134,83596.0796186013864625,36351.875,83596.0796186013864625,13.44066533,,0.0037915926028993198,2.29963597802318,,,82577395.18698,20533,27668,6143847.2849343,14128612.25991494802631017707,354.719221689703,815.7250842940213624933013155,1.65149344,3.7978337320932659379392,9814371.425710711994124135,22569481.63224700465133195975,,,
2016-08-02,8743,6551,7480442,1141.87788123951,222080169.2424742717249113924,12112839968575.9,0.000720527759033371,0.001936875608078517434612757299,0.000441,0.00118546736396184558,18.777673928171917719,50.47691522214294190360385836,0.918308526848986,37578.125,16.6023362050896,101015.0584725141234375,37578.125,101015.0584725141234375,11.1381245,,0.005101007162504943,2.68813461215838,,,82614973.31198,26061,34311,7417314.58247733,19938740.05842439376191871953,336.503986727269,904.5680138508559045524928642,1.59498286,4.2875286317653637053668,11545788.28859931717500389,31036633.1232366914468423778,,,
2016-08-03,9412,6113,7830916,1281.02666448552,215378819.6682574807533120086,14985928285930.1,0.000753137789106578,0.001962611887476192261242071747,0.00042,0.0010944836451744594,21.520912323725756819,56.08163468464598036926792037,1.06021383558205,35055,15.4810291796904,91350.29567045398635,35055,91350.29567045398635,18.11207147,,0.0045689961619258986,2.60591344089157,,,82650028.31198,28575,35801,4563256.52521824,11891451.51330237316933442624,204.466355320685,532.8216235402846199196631254,1.38332338,3.6048209890415568259066,7320099.986835845711439415,19075546.94436573495846956826,,,
2016-08-04,7158,5640,6996458,1240.50673758865,194532637.9654117575719781632,12646706833674.5,0.000751824834519737,0.001768873105374157118556489294,0.00042,0.0009881646231222528,17.988912815556058567,42.32382679229289549972163561,0.825555425021885,32255.625,14.2392088902304,75890.1607659469416,32255.625,75890.1607659469416,18.22236153,,0.004031881638360979,2.35277291219584,,,82682283.93698,23927,30798,4537407.72291517,10675489.98206301957833074689,225.724146806915,531.0776582358267231971462336,1.31541786833775,3.09487952884345210236326496,6951852.273359371137664732,16356129.71834699840326690363,,,
2016-08-05,5234,6024,6542905,1086.13960823373,216195592.6413581079483021712,10730709614845.2,0.000733848246268873,0.001918033752790459773451778044,0.00042,0.0010977394580797848,13.797080878099842767,36.06095258621019716041623957,0.748321878591753,35111.5625,15.4933798811165,91769.8752168678428375,35111.5625,91769.8752168678428375,21.03189312,,0.004496398035661078,2.61366537638044,,,82717395.49948,18801,24938,3932950.54380918,10279416.66337067662183844444,258.837070124128,676.5134883071893507501512563,1.41308844,3.6933403293914488061136,6454878.854755509939252627,16870893.37140470338495164071,,,
2016-08-06,4971,6289,6542298,1040.27635554142,221821069.411847184706041048,11498007390483.4,0.000707026452613434,0.001895171793723362526855754973,0.00042,0.001125802507701942,13.578443022439615923,36.39677429845346741497101867,0.837196707596892,36771.875,16.2188017846447,98566.3549711960678125,36771.875,98566.3549711960678125,19.92283577,,0.0045370734905373095,2.6804821611951,,,82754167.37448,19205,27777,4153734.3552186,11134010.84150668812809774886,196.238962767345,526.0150390292976874684540095,1.43462277,3.845480743029300872427,5450929.668788548228182999,14611119.73911681838511333202,,,
2016-08-07,5063,5839,6258697,1071.87823257407,177238001.396888945513955381,11254398772718.7,0.000657181673927327,0.001406927011635971802145398967,0.00042,0.000899156760345774,12.439791905768823094,26.6317214032539925919988678,0.761193521886229,34467.34375,15.1960235986109,73789.393199938479328125,34467.34375,73789.393199938479328125,22.33450481,,0.003599685678626344,2.1408494293947,,,82788634.71823,18929,25795,3706759.3575366,7935613.65548569487502109602,268.500138410583,574.8183681086945877377641101,1.45931846,3.124181092396152336162,6925961.070300977773299702,14827439.8053637539585581544,,,
2016-08-08,4766,6131,6218268,1014.23389332898,178885416.1683119066963887656,10675130619812.5,0.000780642390831864,0.001686042189775027323546251794,0.00042,0.0009071217858806124,12.390356027282128935,26.76086163610660632418269051,0.757688797668646,35828.28125,15.7892030719621,77382.415410792523784375,35828.28125,77382.415410792523784375,4.51670039,,0.003650620134591154,2.15981377590622,,,82824462.99948,15872,20775,18337382.5841531,39605331.51931666493436372228,1017.07870356423,2196.700595138862614012226511,1.61525637,3.4886529595462743776214,21129810.066546781020525968,45636454.86400966080854656733,,,
2016-08-09,6173,5635,6074901,1078.06583850932,160805527.6591819436450815176,9803539624017.92,0.00078777652140834,0.001528895087763111572498176016,0.00042,0.0008151244920482454,13.718340343803414722,26.62417905830407283418691545,0.63936868095566,31986.875,14.0908877856665,62079.25056329933233125,31986.875,62079.25056329933233125,13.8615725,,0.003301014647676706,1.94077260011487,,,82856449.87448,17414,21938,5977420.66281099,11600814.24174403468241109842,427.621004054728,829.9151279030258275885666054,1.64799577152216,3.198385038475373695090750519,9381149.586952624971958253,18206678.0759365846967055938,,,
2016-08-10,4681,6001,5853515,975.423262789535,139369770.0385763496721753716,8442882393547.2,0.000731195078485522,0.001229420403191203936651179495,0.000420916113555,0.0007077220201048017310796331,11.542645508971606396,19.40763048477492642993862479,0.586447028956738,33414.0625,14.7136600703948,56181.90192977275265625,33414.0625,56181.90192977275265625,4.30655143,,0.002849955917110301,1.68138495370842,,,82889863.93698,15786,20809,19247387.4613319,32362267.6756795602242574446,1640.56936969673,2758.428653722988148184247467,1.74128598,2.9277720468754207539516,34138608.01401928211362577,57400141.85532170668700394579,,,
2016-08-11,4849,6250,6010662,961.70592,153801494.2607215548116428032,8574225531431.46,0.00070310176595643,0.001304057890322681515316115429,0.000441,0.00081793213653788469,11.335406670748345965,21.02402130778001142117650199,0.620422822175695,34447.1875,15.1622886786795,63889.935758721348684375,34447.1875,63889.935758721348684375,16.91071197,,0.003145803599129123,1.85472139804509,,,82924311.12448,16122,21181,4903655.81741906,9094915.373215417555853305415,400.808186831561,743.3875206281504495865130855,1.57116399,2.9140714720909018043091,8489518.205279296329450836,15745691.07442485984449136659,,,
2016-08-12,4013,6036,5710950,946.148111332008,152680893.0361744036247508906,9578613766128.04,0.000672418832745174,0.001237566320839708613206504532,0.00042,0.0007729971699791124,10.400302086068533171,19.14143828442579813662181185,0.669185660291059,33269.53125,14.6380581620918,61231.555959003909140625,33269.53125,61231.555959003909140625,12.10996211,,0.0031343590354275894,1.84046945233122,,,82957580.65573,15467,20636,6850358.39872069,12607875.37036604153418614694,444.272408258927,817.6697959141795568615258009,1.56283988,2.8763590580249895850536,9168005.416831226991949713,16873433.9084850266725241357,,,
2016-08-13,3540,6054,5513464,910.714238519987,155416074.0276370966672703454,9358607282351.32,0.000675206488012586,0.00126445053785464785796642907,0.000440341936272,0.00082462270141679795196461856,9.741204002556721416,18.24222790962740011726477537,0.655689629836245,33361.5625,14.6726497940942,62475.77059124782933125,33361.5625,62475.77059124782933125,104.96515454,,0.0031991863595343807,1.87268718577698,,,82990942.21823,14427,18921,790652.31299288,1480644.454946696406392007902,72.8289154200614,136.3857766611844863962383066,1.54077022,2.8853806472207783455356,1377995.908662981461703419,2580555.280206271128337524368,,,
2016-08-14,3620,6056,6257757,1033.31522457067,160857512.960918946458738616,9731625473723.52,0.00163606384101075,0.0031698366201246755967812214,0.00042,0.000813740483152464,24.413344635577070132,47.30030204552881002251708613,0.682120648763047,33261.25,14.6226711523292,64442.918202987841,33261.25,64442.918202987841,52.43583869,,0.0033908316583827793,1.9374773408392,,,83024203.46823,14922,20175,1583348.4415051,3067701.72806919275654507992,147.606089859656,285.9834544729583108052633152,1.44501063,2.799675352896777120696,2977952.862918568786811396,5769716.19399195133223963353,,,
2016-08-15,3772,6025,5579203,926.008796680498,153891366.9882429802509705696,9992171971670.24,0.000664325533593481,0.001230882301582022438848866333,0.00042,0.0007781886146510784,9.913065612280797502,18.36722570420485258294010528,0.697807140706487,33262.1875,14.6172271711525,61629.1800259271829,33262.1875,61629.1800259271829,34.10345833,,0.003270290014254881,1.85283003488352,,,83057465.65573,14922,20191,2435455.80815291,4512485.669977227628118199043,165.957717451901,307.4914434155950857177375715,1.48339469713055,2.748478248430425541747483536,3350852.27307133630129339,6208559.734004286323854853087,,,
2016-08-16,4833,5997,6085166,1014.70168417542,154498059.9333972631787259394,9887548096296.26,0.000740138487452029,0.001376200043124653771864335389,0.000441,0.00081998737980411798,13.295107650099757814,24.72068137464622359618456589,0.686487400393608,33623.4375,14.7700009970142,62518.80819871320440625,33623.4375,62518.80819871320440625,46.33911525,,0.003214615902910874,1.85938181361478,,,83091089.09323,17963,21157,1793109.0966688,3334074.444173193214984444864,118.348069586109,220.054248264827538255765091,1.39153377,2.5873925849688121411206,2503890.108233306027964175,4655687.73053895234999952829,,,
2016-08-17,3822,5988,5482881,915.644789579158,144995115.564664623667646874,9903526417766.69,0.000669817734826946,0.001168370948481583800415069415,0.00042,0.000732610937046996,9.685564445596431198,16.89464391504159469168586287,0.686660096389872,33452.8125,14.6891354617598,58352.1340773391925625,33452.8125,58352.1340773391925625,50.68706888,,0.0030406519007786233,1.7443117548738,,,83124541.90573,14460,19375,1639955.58919075,2860593.81169641376691037735,132.392052637483,230.9330136674324734698146454,1.519194801,2.6499493493274633711138,2565096.019851228690200818,4474327.139806496437805315087,,,
2016-08-18,3556,5986,5307119,886.588539926495,140040314.855796497777641848,9511958444906.05,0.000637930941255862,0.001074287480461964552146002571,0.00042,0.000707287752661392,8.164878117132758462,13.74980546243096782331815907,0.659145416042549,33878.4375,14.8699670297509,57051.91410251054175,33878.4375,57051.91410251054175,45.15376619,,0.0029376008825248304,1.6840184587176,,,83158420.34323,12799,16886,1841671.85504456,3101409.398795723175668456256,185.706040180284,312.7323995589505581154437984,1.62185466658237,2.731233195881989766124968712,3135832.194484275405877463,5280799.298952438757015005409,,,
2016-08-19,3453,5941,5391632,907.529372159569,148223142.624309863098849434,9254018100718.63,0.000666959394039825,0.001188314090216166637270985235,0.00042,0.000748309300912236,8.377009989139074928,14.92522497311304487255119894,0.63628002359353,34077.5,14.9512129368192,60715.5004805636245,34077.5,60715.5004805636245,53.73271958,,0.0031042121378515694,1.7816888116958,,,83192497.84323,12560,16900,1548265.16299988,2758526.718455260290757996504,163.116586345363,290.6229968935451596124965754,1.67790591,2.989506186925259942178,2756670.309236641057390736,4911528.647500924524343138034,,,
2016-08-20,3482,6135,5527754,901.019396903015,145093558.6293058227559200976,9257509249783.77,0.000658612972056801,0.001148180827147052900685283983,0.00042,0.0007321992852581904,8.538258569743229947,14.88501624313240951478433412,0.657499035942078,35246.09375,15.4573746808411,61445.6301235551709375,35246.09375,61445.6301235551709375,91.12456523,,0.0029964599704228895,1.74333163156712,,,83227743.93698,12964,17632,913340.367918808,1592255.153780009215669962393,90.9523114287902,158.5600414779536345803116982,1.63626867990471,2.852558947420455702629569135,1603671.155112428399272948,2795730.651339277775162588045,,,
2016-08-21,3364,6026,5241504,869.814802522403,143282143.4768427460802604951,9700886561266.7,0.000651156491243056,0.001120560458233552658899246131,0.00042,0.0007227684877404054,8.24494349211844083,14.18853652215129187561303629,0.676557952675447,33357.34375,14.6231917203429,57403.8973743437230765625,33357.34375,57403.8973743437230765625,137.45393799,,0.0029629829287579766,1.72087735176287,,,83261101.28073,12662,17287,605738.202170148,1042401.153212166243807488805,61.8788170179909,106.4858547601393924726206179,1.56284412,2.6894630504437730138244,1069699.109790008099264985,1840820.971238528664017175913,,,
2016-08-22,3645,5986,5364773,896.220013364517,137863508.2796291561940543313,9651793665506.05,0.000707952466923404,0.001171758826895116659922434469,0.000441,0.00072991573135750521,9.55948216086572674,15.82225943956310930540794186,0.668827763295321,33181.25,14.5402011783123,54919.5382338009518125,33181.25,54919.5382338009518125,13.18968048,,0.002829431156057458,1.65513771282881,,,83294282.53073,13503,18301,6315109.95679794,10452376.65015698754120698065,523.665012674995,866.737711367361023066602606,1.535208554,2.54098157478278464964074,9583593.396965090235083909,15862166.85573408523890895971,,,
2016-08-23,3709,6014,5440845,904.696541403392,133234110.2329444339885584648,9530993742144.04,0.000670344146593044,0.001071828328639059557609836771,0.00045697344,0.0007306651082387836738944,9.339904994479660955,14.93378410292606437672825653,0.663423804728969,33152.96875,14.522028094607,53009.027177062550240625,33152.96875,53009.027177062550240625,23.29299428,,0.0027443294489195914,1.59892248494526,,,83327435.49948,13933,17802,3577360.40641118,5719921.990563749148735352007,252.114444597551,403.1114542465103251369650583,1.55845877,2.4918547692131334169302,4488141.3427256003046924,7176190.108496372655194730008,,,
2016-08-24,3535,5905,5239835,887.355630821338,121092451.6750122728907286276,9090477813436.52,0.00068980871799207,0.001002044604997836559786408133,0.000441,0.00064061479549048842,8.891634374916684837,12.9163549584205190356120993,0.621319283297589,32754.6875,14.3419309753054,47580.81050831600321875,32754.6875,47580.81050831600321875,30.5189387,,0.002510172216675213,1.45264125961562,,138.52691997997684,83360190.18698,12890,17127,2731424.93645931,3967780.560243766900054370422,284.335676460457,413.0377352071776493379495383,1.65390352,2.4025284925755077649824,4869817.130738242913955579,7074097.290893325608001338051,,0.2927374470351339,
2016-08-25,3797,5938,5402845,909.876220949815,114418403.0994625306262208385,8356245484590.72,0.000698634830437296,0.0009585494187602875749788657352,0.000441,0.00060506615939645295,9.034046992383626504,12.39500253398784064361676734,0.574248254395787,33195.78125,14.5292819275451,45545.6777077149300546875,33195.78125,45545.6777077149300546875,31.82791648,,0.0023818619203856335,1.37203210747495,,-46.20447227466991,83393385.96823,12931,17214,2620133.36703736,3594907.105441705731191914132,270.379894484162,370.9698964479593978745867419,1.80095037,2.4709617316088909682315,4654319.503650368392201005,6385875.797455178184736489726,,0.12451249919392916,
2016-08-26,3139,6059,5153951,850.627331242779,119847001.2423665179573322508,8514138490262.04,0.000666998889638264,0.0009581864971305778240162989334,0.0004581,0.000658089902628732276,8.245440273707112986,11.84510147752661338478411586,0.597431498297398,32770.625,14.3375634374731,47077.095427488975425,32770.625,47077.095427488975425,23.21098811,,0.002481649261962101,1.43656385642596,,-11.312263551669325,83426156.59323,12362,16778,3594252.69651534,5163373.514675482472158714226,312.981701144738,449.6181995872421208093405985,1.74728297,2.5100835616506049739012,5251206.981806421194688575,7543694.152674758402972209193,,0.09431296709884193,
2016-08-27,3098,6049,5046981,834.34964456935,113264092.8362112555585666052,8797645841081.46,0.000628291430248479,0.0008526663447186094752040785077,0.00042,0.0005699900516551458,7.319595162393843639,9.933562915970529157672095702,0.615984927434451,33052.65625,14.4552286556983,44856.3934363744706453125,33052.65625,44856.3934363744706453125,19.23093971,,0.0023800715633463146,1.35711917060749,,-21.418614017939362,83459209.24948,11650,15718,4339840.40928711,5889680.616820592665136526454,327.594197268659,444.5843652930689679917676559,1.59376177064544,2.162924652324264235134198346,5149125.592668776887183826,6987977.05367645088034045285,,0.09388638876416655,
2016-08-28,3242,5955,4983109,836.794122586062,110761895.6827667691590724738,8512523097856.92,0.000636367192547402,0.0008442171826188292239932564436,0.000441,0.00058503923818664121,7.45058709034401019,9.884094774099962515133833556,0.586744336423982,32619.6875,14.2603007852264,43273.916382962138196875,32619.6875,43273.916382962138196875,42.39687959,,0.0023067423362386165,1.32661958772481,,-19.592553972823964,83491828.93698,11708,15615,1969291.83800858,2612501.12624877571916345887,203.592985203952,270.0904420949301446135004491,1.59761308,2.1194248055333638965148,3179104.463959709125840994,4217462.253312332411685947259,,0.09366199157152211,
2016-08-29,3394,5971,5156135,863.529559537766,105066727.9358860952584426026,8167245858012.87,0.000688083825014562,0.0008655487221132935297404561484,0.000441,0.00055473907767543342,8.097370452770367414,10.18577736182798260797023722,0.564464665111564,32892.65625,14.3739713251832,41376.058481678187196875,32892.65625,41376.058481678187196875,36.18420273,,0.0021936650462697116,1.25791174076062,,-19.55580160922122,83524721.59323,11768,15751,2308320.07610481,2903662.925165688385756240582,282.260272953837,355.0585112989288491605274989,1.587881868,1.99741524469810502643816,4445881.559295887021642989,5592526.611469428849869987538,,0.09365422726385296,
2016-08-30,4014,6000,5358209,893.034833333333,102870915.5199128372666607839,7866997967362.03,0.000759718564187713,0.0009353151588594293344864146086,0.00052521,0.0006466037526801634803,9.769980735453187458,12.02815294293127421448932045,0.546671154942718,33150.3125,14.4808188463094,40812.468279393255884375,33150.3125,40812.468279393255884375,4.66534142,,0.002138514749127113,1.23113374208443,,-31.646584848860577,83557871.90573,12860,16892,17910344.4525025,22050029.38783051447147978608,1250.1697595335,1539.126174295269862154413405,1.9946905155,2.455730798647835721223665,21117867.578039895262142594,25998919.33619571483898359105,,0.08936502303592896,
2016-08-31,4268,5920,5328111,900.01875,98781337.1865715769094012656,7464567417306.28,0.000712150027609921,0.0008415686826773690678198429211,0.0004581,0.000541350275346295632,9.322756011440309192,11.01697562492805983876391378,0.511469421918826,32610.3125,14.239377195391,38536.56767300534005,32610.3125,38536.56767300534005,22.62609315,,0.002064975947257045,1.18172948121872,,-48.61232418904136,83590482.21823,13091,17071,3694428.448415,4365815.0137451386128523288,336.857825921377,398.0748238705347327008605774,1.99955532,2.3629334709717316595904,5750499.946303817982815876,6795535.318293888041407043133,,0.07511474454892703,
2016-09-01,4893,6165,5822845,944.500405515004,122879829.4987001296655876096,7301149323558.74,0.00075691777399778,0.001112230706114614986304144026,0.00052521,0.0007717544880379176192,11.62398625528302773,17.08052695380084965112965875,0.520949246205147,34188.90625,14.9225708316083,50237.8893005561812,34188.90625,50237.8893005561812,6.44718285,,0.0025679221446488518,1.46942078033152,,-45.33678582592706,83624671.12448,15357,20157,12970730.4857954,19059460.91190731215906289101,906.413908071553,1331.903432101844043875221251,2.068621533,3.03967546723144515062016,18270585.144998296400905495,26847177.48087687418335958039,,0.0808040330330416,
2016-09-02,3728,6058,7128007,1176.627104655,117225224.1227608805885564352,8061582925673.62,0.00108048794432149,0.001514018349340764396800915188,0.00066446,0.0009310651152472610904,24.805842225735254482,34.75883326416875398197522408,0.565386130572981,33787.5,14.7414113321845,47344.2533507161215,33787.5,47344.2533507161215,23.35781463,,0.0024291299569786256,1.40123576324724,,-46.2286144559034,83658458.62448,22958,19689,3581604.69831398,5018672.593091890524477888415,270.798176826652,379.4520899916547751940974405,1.5852575,2.2213195029559115643,5331745.30353994595362404,7471032.199845683478152360542,,0.08093647301672366,
2016-09-03,3214,5893,5158460,875.353809604616,112749744.0689694020003757651,7811812584851.82,0.000656675017487784,0.0008846830711270391294095087961,0.00044855,0.0006042937236628092885,8.197930918316460486,11.04438345994856216343510015,0.532882577511138,32461.40625,14.1573461934693,43732.5249317661137671875,32461.40625,43732.5249317661137671875,13.60403019,,0.0022439596949813054,1.34721597071187,,-42.739226394165044,83690920.03073,12484,16729,6151921.07300481,8287966.320110983973055634095,433.12120055592,583.5077986428342910821427704,1.61444137015055,2.175001197644774642452572028,7245684.56409998852391159,9761501.963495978686876279747,,0.07955535693936973,
2016-09-04,3132,6161,5312688,862.309365362766,121021407.9207443168645979816,7652316845926.53,0.000699172386145715,0.001010631654057833408455467738,0.000483,0.00069816128122686036,8.923537164376813192,12.89869180073875842320563555,0.54558816387814,33774.53125,14.7240954066712,48820.02072533464506875,33774.53125,48820.02072533464506875,28.33295611,,0.0023675288496839714,1.44546849115292,,-44.69573250594568,83724694.56198,12763,16893,2955028.5624334,4271400.677454388953766715528,247.048202412358,357.1003923830322891246757854,1.60357437,2.3179162250553942626604,4173385.283351967222362772,6032496.928526569560320360325,,0.07792720857067281,
2016-09-05,3446,6125,5484250,895.387755102041,122180403.3392043166831670863,8395143726673.14,0.00066957716570075,0.0009767301142244776365171649825,0.000423590347866,0.00061790256605084370477944046,9.369393279649560537,13.66738448834160693362963256,0.595313395886414,33558.59375,14.624095247039,48952.8179658675398828125,33558.59375,48952.8179658675398828125,6.2752315,,0.002401089701727093,1.45872673719731,,-45.579688672618026,83758253.15573,13993,18610,13347436.3790164,19470262.31911127111343052588,884.471334586798,1290.201984046350128845447113,1.50149061116854,2.190264500162279223743644627,16460011.53666031752367176,24010658.92310258573498807397,,0.07766153083284288,
2016-09-06,4335,6066,5456146,899.463567424992,123481182.3175591309734643974,8555510956167.08,0.000642317669479147,0.0009465686372929889895693480401,0.000446308747353,0.00065771483935113113734590489,9.439500470664319295,13.91077269365596091159856039,0.600687333724844,32971.40625,14.3625580651922,48589.1959176584208140625,32971.40625,48589.1959176584208140625,63.1655945,,0.002404058241951922,1.47367678373313,,-31.163921969524278,83791224.56198,14696,19289,1326532.66740072,1954880.394812022915935249854,119.33009470243,175.8539901636468570118825059,1.6342006,2.408283484182751285878,2301758.196715181256365248,3392047.61626659746790003778,,0.06751008978841351,
