date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-10-27,6417,2779,6553618,2358.26484346887,2889339923.12208,0.0057877760115137,0,133.33299597723718,0,0,0,0,0,12.38475367,0.8520052140398464,0.005005834081941578,28.8933992312208,,-9.324230317142192,100000000,23037,11028,8074444,233298134.0621354012352,1030.68190061661,29779.90363490915236348305749,43,1242.4161669424944,11366360,328412777.285778852288,,0.06751964819061343,0.10745357529055098
2017-10-28,6763,2728,6471985,2372.42851906158,2737019901.57193,0.002548050032183644,0,57.364250374552306,0,0,0,0,0,0.82519403,0.7991173259789816,0.00474980099843499,27.3701990157193,,-7.392680220502092,100000000,22513,11129,121183620,3316819796.845301677866,11152.3894330128,305243.118282365260761558107,40,1094.807960628772,124114942,3397050663.3644580077806,,0.06685123245626377,0.10637888861529182
2017-10-29,6644,3594,6675327,1857.3530884808,2774943674.98127,0.0010123853452047352,0,21.81589180381708,0,0,0,0,0,4.68272523,0.8090156439723211,0.0044940332518500345,27.7494367498127,,-2.2842284081198425,100000000,21549,11520,21355086,592591608.2438106923922,2159.66944444444,59929.61064911412058222555639,37,1026.7291597430699,24879392,690389114.6777960898784,,0.0665341452070925,0.10640154522769962
2017-10-30,7330,3557,6779249,1905.88951363509,2866021635.41614,0.00009992285432130299,0,2.2948282723430435,0,0,0,0,0,2.60078253,0.8326715201528767,0.004683610974229628,28.6602163541614,,-15.911755109507993,100000000,22966,12288,38449966,1101984344.3701497885124,3445.70190429688,98754.56206909451933452903643,40,1146.408654166456,42340785,1213496058.705031692699,,0.05727542273971197,0.1064993080898777
2017-10-31,7236,3654,6851921,1875.18363437329,2860426093.68819,0.00006198740165823228,0,1.438169705872646,0,0,0,0,0,4.20077662,0.8292660387886656,0.004449591010029782,28.6042609368819,,-19.499266991607332,100000000,23201,12494,23805122,680927921.3223079290918,2196.47718905074,62828.60665751624233691648761,44,1258.5874812228036,27442786,784980611.5790094889734,,0.056579529656234015,0.10621385649474147
2017-11-01,7479,4298,7305105,1699.65216379712,2698434134.3759,0.0006825795613331333,0,16.364162403400606,0,0,0,0,0,2.26885305,0.7847412424396452,0.004011699254713428,26.984341343759,,-26.139227520713813,100000000,23974,13272,44075133,1189338433.643576644947,3607.66131705847,97350.36443218091810897258873,45,1214.295360469155,47880881,1292034036.743904771679,,0.056924319185458525,0.10646612411781103
2017-11-02,8205,3676,6926954,1884.37268770403,2458461519.52503,0.00002753718256459932,0,0.6452512618536905,0,0,0,0,0,4.03054557,0.7162579198225456,0.0034902598305084688,24.5846151952503,,-26.333970049572596,100000000,23432,13710,24810537,609957504.9325197924111,2052.29460247994,50454.87306925850694568902898,46,1130.8922989815138,28136959,691736309.7795346858377,,0.057054786381830806,0.1070885467742794
2017-11-03,6747,3593,6319639,1758.87531310882,2672258794.07288,0.000016450545573365317,0,0.3443099188505358,0,0,0,0,0,8.30447735,0.7798369102707842,0.0037121758036236198,26.7225879407288,,-14.259426370748631,100000000,20930,11364,12041697,321785307.0381101687736,1385.71304118268,37029.83860361891556929313718,45,1202.516457332796,15747243,420807085.8915260106984,,0.058428412359357855,0.1012144262760197
2017-11-04,5336,3688,5922517,1605.88855748373,2648501308.89848,0.000016238452391777552,0,0.2957509334114443,0,0,0,0,0,3.78058898,0.7774566589869033,0.003569169186275096,26.4850130889848,,-18.427977064308422,100000000,18213,9188,26450905,700552565.140493491244,3204.3368524162,84866.90347775941235548507376,41,1085.8855366483768,29441447,779757109.1536522730056,,0.05777921137265766,0.10121547846294175
2017-11-05,5731,4317,6621660,1533.85684503127,2632472656.88722,0.000022210783945055853,0,0.4411505907166991,0,0,0,0,0,4.93123589,0.7772992202770947,0.0035713241145528905,26.3247265688722,,-21.27015525824116,100000000,19862,9936,20278892,533836287.0196899056024,2378.98500402576,62626.12974242546194890294787,42,1105.6385158926324,23637595,622253225.120740670359,,0.057374767546392785,0.10040033606835419
